модель,цена,фото,описание
Chevrolet Evanda,$ 3 200,https://im.mashina.kg/tachka/images//d/e/a/dea2ffd33c7ae99fd9af8669ae780b7b_240x180.jpg,"2005 г., 2 л., автомат                     седан, бензин              руль слева, 260 000 км"
Chevrolet Aveo,$ 3 774,https://im.mashina.kg/tachka/images//e/4/b/e4b90872063f9c782a19da8546078334_240x180.jpg,"2006 г., 1.4 л., механика                     седан, бензин              руль слева"
Chevrolet Bolt,$ 16 880,https://im.mashina.kg/tachka/images//2/4/9/2498c50aa5356ee570c17e66febc5d0f_240x180.jpg,"2016 г., автомат                     хэтчбек 5 дв., электро              руль слева, 141 012 км"
Chevrolet Malibu,$ 14 980,https://im.mashina.kg/tachka/images//5/9/b/59bd384a88ef6a25d0e8415c11f8a113_240x180.jpg,"2018 г., 2 л., автомат                     седан, бензин              руль слева, 138 000 км"
Chevrolet Lacetti,$ 3 774,https://im.mashina.kg/tachka/images//7/7/3/7736abc60cfe19d24e223ab26eae69b5_240x180.jpg,"2008 г., 1.6 л., механика                     седан, бензин              руль слева, 120 000 км"
Chevrolet Camaro,$ 16 500,https://im.mashina.kg/tachka/images//0/3/9/0398bc0af9cebc8e8852e023d7d2fe3c_240x180.jpg,"2016 г., 3.6 л., автомат                     купе, бензин              руль слева"
Chevrolet Lacetti,$ 3 538,https://im.mashina.kg/tachka/images//2/4/a/24ae5d2f2df5a54a57d6710842daad54_240x180.jpg,"2004 г., 1.6 л., механика                     седан, бензин              руль слева, 134 000 км"
Chevrolet Blazer,$ 3 500,https://im.mashina.kg/tachka/images//1/8/2/182641737441fb208dc69529598331f0_240x180.jpg,"2002 г., 4.3 л., автомат                     внедорожник 5 дв., бензин              руль справа, 220 000 км"
Chevrolet Lacetti,$ 3 538,https://im.mashina.kg/tachka/images//8/4/7/84748c2b16f847862b796c4fcca2787c_240x180.jpg,"2010 г., 1.6 л., механика                     универсал, бензин              руль слева, 150 000 км"
Chevrolet Matiz,$ 3 656,https://im.mashina.kg/tachka/images//0/f/5/0f5572038607721b995e4dc323c285d8_240x180.jpg,"2007 г., 1 л., механика                     хэтчбек/лифтбек, бензин              руль слева, 190 300 км"
